H2,O2,N2,CH4,CO,CO2,C2H4
0.14651628,0,0.58429356,0,0.01162046,0,0
0.15531355,0,0.4611087,0.00498099,0.01255054,0,0
0.13640344,0,0.4697064,0.00623921,0.01048775,0,0
0.14599238,0,0.45627596,0,0.00051714,0,0
0.14160701,0,0.46384598,0.00291907,0.00336883,0,0
0.1317147,0,0.45345713,0,0.00137135,0,0
0.13675114,0,0.4615788,0.00669639,0.00677464,0,0
0.0191643,0,0.46506863,0,0,0,0
0.00231516,0,0.48566185,0,0.00918699,0,0
0.00064254,0,0.46671629,0,0.01136261,0,0
0.00098597,0,1.40508865,0,0.01191,0,0
0,0,1.05040353,0.00549742,0.03375076,0,0
0,0,1.15407388,0.00436798,0.02914934,0,0
