[Measurement conditions],
Sample identification,
Comment - 1,"Configuration=Refl Transm Spinner PW3064/60, Owner=User-1, Creation date=10/4/2011 2:53:33 PM"
Comment - 2,Goniometer=PW3050/60 (Theta/Theta); Minimum step size 2Theta:0.001; Minimum step size Omega:0.001
Comment - 3,Sample stage=Reflection-Transmission Spinner PW3064/60; Minimum step size Phi:0.1
Comment - 4,Diffractometer system=XPERT-PRO
Comment - 5,"Measurement program=C:\PANalytical\Data Collector\Programs\FabioD\20-90_0.026_60s_1D.xrdmp, Identifier={75D2FDBE-8ECF-4DAD-B4A8-7F413C6B3A22}"
Comment - 6,Fine Calibration Offset for 2Theta = -0.049 deg
Anode material,Cu
K-Alpha1 wavelength,1.540598
K-Alpha2 wavelength,1.544426
Ratio K-Alpha2/K-Alpha1,0.5
Divergence slit,Fixed
Monochromator used,NO
Generator voltage,40
Tube current,40
File date and time,7/23/2024 9:54
Unit cell,
h k l, 0 0 0
Scan axis,Gonio
Scan range,20.002
Scan step size,0.0262606
No. of points,2666
Scan type,CONTINUOUS
Phi,0
Time per step,56.865
[Scan points],
Angle,Intensity
20.01513028,862
20.04139085,848
20.06765141,881
20.09391198,856
20.12017254,853
20.14643311,891
20.17269367,876
20.19895424,874
20.2252148,854
20.25147537,891
20.27773593,864
20.3039965,858
20.33025706,868
20.35651763,878
20.38277819,825
20.40903876,854
20.43529932,887
20.46155989,894
20.48782045,895
20.51408102,857
20.54034158,837
20.56660215,866
20.59286271,905
20.61912328,895
20.64538384,929
20.67164441,893
20.69790497,881
20.72416554,849
20.7504261,900
20.77668667,904
20.80294723,839
20.8292078,898
20.85546836,911
20.88172893,899
20.90798949,874
20.93425006,914
20.96051062,888
20.98677119,840
21.01303175,850
21.03929232,827
21.06555288,902
21.09181345,849
21.11807401,847
21.14433458,879
21.17059514,916
21.19685571,874
21.22311627,866
21.24937684,914
21.2756374,947
21.30189797,855
21.32815853,837
21.3544191,873
21.38067966,869
21.40694023,888
21.43320079,880
21.45946136,895
21.48572192,878
21.51198249,857
21.53824305,861
21.56450362,915
21.59076418,857
21.61702475,867
21.64328531,884
21.66954588,859
21.69580644,844
21.72206701,878
21.74832757,849
21.77458814,857
21.8008487,872
21.82710927,904
21.85336983,865
21.8796304,858
21.90589096,854
21.93215153,852
21.95841209,872
21.98467266,876
22.01093322,867
22.03719379,825
22.06345435,835
22.08971492,870
22.11597548,851
22.14223605,811
22.16849661,874
22.19475718,855
22.22101774,863
22.24727831,856
22.27353887,867
22.29979944,822
22.32606,855
22.35232057,934
22.37858113,815
22.4048417,861
22.43110226,837
22.45736283,862
22.48362339,960
22.50988396,874
22.53614452,845
22.56240509,893
22.58866565,925
22.61492622,882
22.64118678,876
22.66744735,895
22.69370791,879
22.71996848,841
22.74622904,850
22.77248961,890
22.79875017,891
22.82501074,852
22.8512713,862
22.87753187,881
22.90379243,851
22.930053,908
22.95631356,813
22.98257413,907
23.00883469,837
23.03509526,913
23.06135582,894
23.08761639,930
23.11387695,887
23.14013752,864
23.16639808,897
23.19265865,884
23.21891921,878
23.24517978,882
23.27144034,841
23.29770091,830
23.32396147,851
23.35022204,860
23.3764826,848
23.40274317,958
23.42900373,896
23.4552643,927
23.48152486,916
23.50778543,870
23.53404599,857
23.56030656,940
23.58656712,848
23.61282769,865
23.63908825,877
23.66534882,863
23.69160938,921
23.71786995,849
23.74413051,896
23.77039108,884
23.79665164,918
23.82291221,877
23.84917277,900
23.87543334,894
23.9016939,864
23.92795447,882
23.95421503,889
23.9804756,921
24.00673616,857
24.03299673,878
24.05925729,874
24.08551786,849
24.11177842,848
24.13803899,951
24.16429955,880
24.19056012,877
24.21682068,907
24.24308125,911
24.26934181,896
24.29560238,869
24.32186294,937
24.34812351,870
24.37438407,952
24.40064464,897
24.4269052,891
24.45316577,888
24.47942633,959
24.5056869,849
24.53194746,891
24.55820803,867
24.58446859,856
24.61072916,890
24.63698972,859
24.66325029,917
24.68951085,863
24.71577142,895
24.74203198,896
24.76829255,934
24.79455311,908
24.82081368,882
24.84707424,918
24.87333481,919
24.89959537,920
24.92585594,861
24.9521165,860
24.97837707,887
25.00463763,913
25.0308982,878
25.05715876,899
25.08341933,830
25.10967989,864
25.13594046,943
25.16220102,899
25.18846159,837
25.21472215,883
25.24098272,936
25.26724328,917
25.29350385,849
25.31976441,889
25.34602498,880
25.37228554,885
25.39854611,858
25.42480667,921
25.45106724,845
25.4773278,915
25.50358837,928
25.52984893,916
25.5561095,950
25.58237006,874
25.60863063,876
25.63489119,920
25.66115176,893
25.68741232,874
25.71367289,884
25.73993345,918
25.76619402,854
25.79245458,904
25.81871515,918
25.84497571,858
25.87123628,892
25.89749684,929
25.92375741,899
25.95001797,886
25.97627854,878
26.0025391,894
26.02879967,906
26.05506023,852
26.0813208,901
26.10758136,876
26.13384193,879
26.16010249,873
26.18636306,929
26.21262362,839
26.23888419,886
26.26514475,849
26.29140532,925
26.31766588,913
26.34392645,925
26.37018701,895
26.39644758,893
26.42270814,959
26.44896871,947
26.47522927,911
26.50148984,922
26.5277504,910
26.55401097,951
26.58027153,901
26.6065321,873
26.63279266,884
26.65905323,911
26.68531379,864
26.71157436,935
26.73783492,893
26.76409549,936
26.79035605,925
26.81661662,885
26.84287718,868
26.86913775,911
26.89539831,901
26.92165888,942
26.94791944,902
26.97418001,884
27.00044057,915
27.02670114,874
27.0529617,847
27.07922227,937
27.10548283,898
27.1317434,857
27.15800396,959
27.18426453,910
27.21052509,849
27.23678566,869
27.26304622,851
27.28930679,924
27.31556735,928
27.34182792,901
27.36808848,857
27.39434905,918
27.42060961,920
27.44687018,914
27.47313074,896
27.49939131,918
27.52565187,882
27.55191244,928
27.578173,876
27.60443357,947
27.63069413,949
27.6569547,873
27.68321526,912
27.70947583,933
27.73573639,944
27.76199696,929
27.78825752,866
27.81451809,890
27.84077865,975
27.86703922,906
27.89329978,921
27.91956035,915
27.94582091,1009
27.97208148,947
27.99834204,914
28.02460261,985
28.05086317,893
28.07712374,910
28.1033843,920
28.12964487,931
28.15590543,877
28.182166,923
28.20842656,889
28.23468713,878
28.26094769,940
28.28720826,940
28.31346882,905
28.33972939,894
28.36598995,898
28.39225052,946
28.41851108,898
28.44477165,975
28.47103221,924
28.49729278,907
28.52355334,917
28.54981391,899
28.57607447,981
28.60233504,892
28.6285956,860
28.65485617,912
28.68111673,951
28.7073773,923
28.73363786,914
28.75989843,892
28.78615899,901
28.81241956,963
28.83868012,922
28.86494069,935
28.89120125,840
28.91746182,968
28.94372238,906
28.96998295,914
28.99624351,969
29.02250408,927
29.04876464,953
29.07502521,927
29.10128577,919
29.12754634,937
29.1538069,920
29.18006747,913
29.20632803,923
29.2325886,940
29.25884916,892
29.28510973,874
29.31137029,956
29.33763086,928
29.36389142,922
29.39015199,963
29.41641255,920
29.44267312,946
29.46893368,942
29.49519425,927
29.52145481,931
29.54771538,883
29.57397594,941
29.60023651,961
29.62649707,905
29.65275764,928
29.6790182,916
29.70527877,960
29.73153933,982
29.7577999,982
29.78406046,936
29.81032103,901
29.83658159,964
29.86284216,977
29.88910272,935
29.91536329,939
29.94162385,940
29.96788442,952
29.99414498,971
30.02040555,968
30.04666611,1004
30.07292668,951
30.09918724,981
30.12544781,929
30.15170837,928
30.17796894,924
30.2042295,945
30.23049007,924
30.25675063,942
30.2830112,980
30.30927176,939
30.33553233,926
30.36179289,935
30.38805346,908
30.41431402,997
30.44057459,955
30.46683515,941
30.49309572,990
30.51935628,903
30.54561685,900
30.57187741,915
30.59813798,959
30.62439854,946
30.65065911,927
30.67691967,970
30.70318024,954
30.7294408,957
30.75570137,962
30.78196193,942
30.8082225,927
30.83448306,930
30.86074363,868
30.88700419,945
30.91326476,910
30.93952532,942
30.96578589,934
30.99204645,915
31.01830702,925
31.04456758,985
31.07082815,949
31.09708871,956
31.12334928,951
31.14960984,962
31.17587041,874
31.20213097,944
31.22839154,903
31.2546521,970
31.28091267,886
31.30717323,949
31.3334338,986
31.35969436,964
31.38595493,919
31.41221549,984
31.43847606,937
31.46473662,963
31.49099719,926
31.51725775,932
31.54351832,996
31.56977888,960
31.59603945,982
31.62230001,1009
31.64856058,999
31.67482114,975
31.70108171,971
31.72734227,961
31.75360284,980
31.7798634,1085
31.80612397,966
31.83238453,969
31.8586451,1012
31.88490566,996
31.91116623,961
31.93742679,994
31.96368736,1078
31.98994792,1042
32.01620849,959
32.04246905,977
32.06872962,1113
32.09499018,1066
32.12125075,1056
32.14751131,1097
32.17377188,1022
32.20003244,1127
32.22629301,1180
32.25255357,1167
32.27881414,1056
32.3050747,1129
32.33133527,1190
32.35759583,1176
32.3838564,1163
32.41011696,1238
32.43637753,1292
32.46263809,1189
32.48889866,1203
32.51515922,1250
32.54141979,1182
32.56768035,1154
32.59394092,1167
32.62020149,1207
32.64646205,1114
32.67272262,1150
