H2,O2,N2,CH4,CO,CO2,C2H4
0.0017664,0,3.42053821,0,0.03332677,0,0
0.05175536,0,2.35328957,0,0.01263121,0,0
0.09440354,0,1.57295115,0.00018779,0.03773612,0,0
0.09564539,0,1.35619827,0.00171585,0.00531206,0,0
0.09414094,0,1.30574176,0,0.0068217,0,0
0.09590928,0,1.29606536,0,0.00869914,0,0
0.09667705,0,1.25057415,0,0.00252566,0,0
0.09922143,0,1.25691788,0,0.00194371,0,0
0.05212786,0,1.26087418,0.00535792,0.01348206,0,0
0.01287628,0,1.23672234,0,0.01126706,0,0
0.00254541,0,1.23279247,0.00697249,0.02096926,0,0
