H2,O2,N2,CH4,CO,CO2,C2H4
0.00234483,0,0.12215764,0.00237067,0.001525,0,0
0.11574046,0,0.12865488,0,0,0,0
0.14029983,0,0.12839569,0,0,0,0
0.13814186,0,0.12734068,0,0,0,0
0.12596703,0,0.12113816,0,0,0,0
0.13138699,0,0.12187657,0,0,0,0
0.14070816,0,0.11534653,0,0,0,0
0.12945083,0,0.11846783,0,0,0,0
0.02275757,0,0.11271857,0,0.00475891,0,0
0.00789475,0,0.11025596,0.00118444,0,0,0
0.00481324,0,0.11344833,0,0.00371167,0,0
0.00215772,0,0.10857368,0.00133959,0.01297164,0,0
0.0015839,0,0.11359319,0.00258171,0.00241715,0,0
0.00104247,0,0.12792376,0.00301028,0.00975118,0,0
0.0009982,0,0.10120364,0,0.00855989,0,0
0.00072794,0,0.1150026,0,0.00478964,0,0
0.00044915,0,0.11366152,0,0.0022222,0,0
