H2,O2,N2,CH4,CO,CO2,C2H4
0.00393997,0,0.90044571,0.00728638,0.00256312,0,0
0.00157822,0,4.37918993,0.00753051,0.00665028,0,0
0.15344969,0,1.54850732,0.00416342,0.01457779,0,0
0.27042464,0,1.05105859,0,0.00580567,0,0
0.27167954,0,0.93411998,0.00542454,0.00427586,0,0
0.27476738,0,0.91833307,0,0.02275643,0,0
0.26818575,0,0.99937853,0.00152314,0.02162373,0,0
0.25248509,0,0.91709904,0.01331521,0.02707695,0,0
0.25499106,0,0.92490229,0,0.00581287,0,0
0.11326171,0,0.94040312,0,0.00100258,0,0
0.01124746,0,0.95196042,0,0,0,0
0.00266599,0,0.93768633,0,0.00019591,0,0
0.00168553,0,0.91872893,0.00080058,0.01457827,0,0
0.0005885,0,0.9223249,0.00237111,0.01173906,0,0
0,0,0.90955862,0,0,0,0
0,0,0.93241902,0.00417616,0,0,0
