H2,O2,N2,CH4,CO,CO2,C2H4
0.0128215,0,0.21132567,0.00032528,0,0,0
0.02232556,0,0.20510676,0.00039481,0,0,0
0.02629395,0,0.20437745,0,0,0,0
0.02585751,0,0.2152355,0,0.00854357,0,0
0.02705182,0,0.21003606,0,0.00625894,0,0
0.02545078,0,0.20411461,0,0.00560352,0,0
0.0251452,0,0.20323862,0,0.00953415,0,0
0.02581208,0,0.21022967,0,0.0084677,0,0
0.00940729,0,0.40876356,0,0,0,0
0.00394824,0,3.95683467,0,0,0,0
0.00272085,0,4.97850099,0,0,0,0
0.00185813,0,3.46457035,0,0,0,0
0.00124573,0,3.91516719,0,0,0,0
0.0007325,0,11.91442273,0,0,939.2934593,0
0.00047417,0,24.7772418,0,0,623.0749866,0
